X63928 X89869 X114 X111 X6790 X995 X196883 X891 X6196 X6195 X5499 X818 X801 X5566
TCGA-D8-A1X8 8.74805946411637 7.68494702244024 6.00460782992167 16.4268538216809 16.3501494526996 14.809092792616 14.9311002798539 18.2644157584405 16.5337151952315 16.7087688295695 19.9362692025493 16.5614362962501 19.9158429872744 18.6845293277295
TCGA-A2-A0SY 8.3018855089583 6.85955830369173 3 14.9954807392841 16.0225557250583 15.3319705695526 14.9232072379285 18.2361780325352 17.2658960162478 17.5955411401579 20.31779770136 16.4131808895413 19.691715025426 18.4450051124711
TCGA-BH-A42V 7.99366051893809 9.91086252362692 8.81996289619695 14.8370673238478 15.3048309172355 13.2940250715278 16.7984577871189 17.2122997733164 17.0367077088939 18.0137590491519 20.0572100129498 16.8033227807213 19.4874410112223 18.3482454146168
TCGA-A8-A08R 3 8.55844707918656 6.81844879694199 11.4281126731022 18.9665628924802 16.372427885705 13.9241066701614 18.849571909528 17.1415589667381 18.2603638349983 20.0958636028964 16.7941260411795 19.986291912171 19.6933069133498
TCGA-A1-A0SH 3 9.66189128094937 3 14.2429879820686 15.8453480549007 13.1843271829233 13.6448032449932 17.4936254818817 17.7498273759177 17.1879526151917 20.0500096596275 16.6379513961894 19.7145525968463 18.7469930170182
TCGA-AC-A2QI 3 3 3 13.52699865562 15.3819233398838 13.4468915827718 15.1405985471306 16.836475781312 17.1337721575563 18.0636651941108 20.3647270398206 16.5481753299302 19.3941399208078 18.6572467678443
TCGA-AC-A2FM 9.49786213870476 3 6.93411162132992 16.6356116195806 17.2383396506958 15.1843540365158 15.1568951935027 18.5791594419747 17.1990814048696 16.5135927693985 21.5083877734865 16.9454820917175 20.7616410511189 17.9974922000211
TCGA-AQ-A0Y5 9.29487618056727 8.38795710400425 7.04327238155669 15.598535731297 15.4827188108787 12.677817037525 13.4948043840803 17.3169941826677 17.2332353640446 16.5819790168239 19.7270488541124 17.1177391712937 20.4956119633909 18.6309332251494
TCGA-BH-A1EV 10.2287362639319 9.50441183307999 6.24872100718853 15.4454780739913 17.0043405484853 14.3879698471239 13.5835495948238 18.3567277046315 16.1424945328078 17.2695711633761 19.7789609912316 16.4942661351043 20.0638020540291 18.8363203866248
TCGA-AC-A2FK 9.10325771823532 13.4328830897921 3 15.9466039461974 14.298019032708 11.5381435143759 15.4688707068948 16.2146438902483 17.7611552967641 18.1974932468765 19.6120149046214 16.963982398116 19.328216135453 18.4683622761501
TCGA-A8-A07B 3 3 3 13.0175110974868 16.9309195646127 15.6634901065664 12.5365423562219 19.7674366835484 15.721459454022 16.8461345812072 19.2539380648713 16.7279662401451 20.859576054642 18.030033743685
TCGA-B6-A40B 14.0016595661234 6.75798875121426 3 12.6862341423496 16.4428156424286 15.4298677331879 15.639007050999 18.5786624489762 16.3461754594323 17.5728546912461 20.7156499089607 16.6513886588494 20.0085687401679 18.6588535157032
TCGA-AC-A2FB 10.555578021472 9.91413702421627 3 18.426058944471 16.031678786272 14.1932890730508 15.16811575607 17.4286233675645 17.6575410611246 17.5122409198461 19.9901080389421 16.8238087705069 19.7484092422491 18.4275494992807
TCGA-A2-A0CP 3 10.6915468900761 6.96490990783501 13.9183604073697 15.1433158183391 13.0484118086914 15.4472314835168 16.7695520554258 17.5873689463713 18.2869674420596 20.4714790444263 16.5308788798347 19.7275710259727 19.3530565558557
